ID,Name,Description,Media_Type,Download_URL,Path_In_Zip
Laycock1968,Laycock1968.pdf,,application/pdf,sources/Laycock1968.pdf,
Lee2011,Lee2011.pdf,,application/pdf,sources/Lee2011.pdf,
Leibniz1768,Leibniz1768.pdf,,application/pdf,sources/Leibniz1768.pdf,
Lin2010,Lin2010.pdf,,application/pdf,sources/Lin2010.pdf,
List2016f,List2016f.pdf,,application/pdf,sources/List2016f.pdf,
Liu2007,Liu2007.pdf,,application/pdf,sources/Liu2007.pdf,
Luqman2010,Luqman2010.pdf,,application/pdf,sources/Luqman2010.pdf,
Mallory2006,Mallory2006.pdf,,application/pdf,sources/Mallory2006.pdf,
Mann1998,Mann1998.pdf,,application/pdf,sources/Mann1998.pdf,
Mann2004,Mann2004.pdf,,application/pdf,sources/Mann2004.pdf,
Marsden1782,Marsden1782.pdf,,application/pdf,sources/Marsden1782.pdf,
Matisoff1978,Matisoff1978.pdf,,application/pdf,sources/Matisoff1978.pdf,
Matisoff2000,Matisoff2000.pdf,,application/pdf,sources/Matisoff2000.pdf,
McElhanon1967,McElhanon1967.pdf,,application/pdf,sources/McElhanon1967.pdf,
McMahon2005,McMahon2005.pdf,,application/pdf,sources/McMahon2005.pdf,
Miedema1985,Miedema1985.pdf,,application/pdf,sources/Miedema1985.pdf,
Miller1984,Miller1984.pdf,,application/pdf,sources/Miller1984.pdf,
Miller1994,Miller1994.pdf,,application/pdf,sources/Miller1994.pdf,
Mitterhofer2013,Mitterhofer2013.pdf,,application/pdf,sources/Mitterhofer2013.pdf,
Nagaraja2013,Nagaraja2013.pdf,,application/pdf,sources/Nagaraja2013.pdf,
Nahhas2006,Nahhas2006.pdf,,application/pdf,sources/Nahhas2006.pdf,
Nelson2001,Nelson2001.pdf,,application/pdf,sources/Nelson2001.pdf,
Nicholas1988,Nicholas1988.pdf,,application/pdf,sources/Nicholas1988.pdf,
Nicholas1989,Nicholas1989.pdf,,application/pdf,sources/Nicholas1989.pdf,
Nordenskioeld1905,Nordenskioeld1905.pdf,,application/pdf,sources/Nordenskioeld1905.pdf,
Norman2003,Norman2003.pdf,,application/pdf,sources/Norman2003.pdf,
OGrady1969,OGrady1969.pdf,,application/pdf,sources/OGrady1969.pdf,
Oliveira2014,Oliveira2014.pdf,,application/pdf,sources/Oliveira2014.pdf,
Pagel2013,Pagel2013.pdf,,application/pdf,sources/Pagel2013.pdf,
Pallas1786,Pallas1786.pdf,,application/pdf,sources/Pallas1786.pdf,
Pallas1789,Pallas1789.pdf,,application/pdf,sources/Pallas1789.pdf,
Payne1991,Payne1991.pdf,,application/pdf,sources/Payne1991.pdf,
Peiros1999,Peiros1999.pdf,,application/pdf,sources/Peiros1999.pdf,
Perrin2010,Perrin2010.pdf,,application/pdf,sources/Perrin2010.pdf,
Peust2013,Peust2013.pdf,,application/pdf,sources/Peust2013.pdf,
